term_id,preferred_label,definition,source_ontology,dominant_physical_phase,is_water_based,concert_unit_route,review_status
ENVO:00005739,sea foam,"A foamy environmental material which 1) is created by the agitation of seawater, 2) whose stability depends on the content of the seawater.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005740,paddy field soil,Soil which is part of a paddy field.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005741,alpine soil,Soil which is part of an alpine environment.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005742,arable soil,Soil which is capable of supporting the growth of crops.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005743,roadside soil,A portion of soil which is found in a roadside area.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005744,allotment garden soil,Soil which is part of an allotment garden.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005746,savanna soil,A portion of soil which is found in a savanna.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005747,compost soil,Soil which is derived from compost.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005748,dry soil,Soil which has little to no water content and in which minerals and other soluble chemical entities have either bonded or become adsorbed to sold particles due to insufficient water availability.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005749,farm soil,A portion of soil which is part of a cropland or a rangeland biome.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005750,grassland soil,A portion of soil which is found in a grassland.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005751,jungle soil,Soil which is part of a densely forested area subject to tropical climate patterns.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005752,sawah soil,"Soil which is part of a sawah, a wet or irrigated rice field.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005753,urea enriched soil,A portion of urea enriched soil is a portion of soil with elevated levels of urea.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005754,fertilized soil,Soil which has been amended with fertilizers.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005755,field soil,Soil which is part of an agricultural field.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005756,lawn soil,Soil which is formulated to promote the growth of grasses or other plants used to establish managed areas of vegetation.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005757,bacteria enriched soil,A portion of bacteria enriched soil is a portion of soil with elevated bacterial abundance.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005758,alluvial swamp soil,A portion of alluvial soil which is part of a swamp ecosystem.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005759,alluvial paddy field soil,Alluvial soil whichi is part of a paddy field.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005760,burned soil,Soil which has been transformed through a combustion process.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005761,meadow soil,Soil which is part of a meadow.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005762,chloropicrin enriched soil,A portion of chloropicrin enriched soil is a portion of soil with elevated levels of chloropicrin.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005763,humus-rich acidic ash soil,"Soil which 1) has increased levels of humus, 2) has low pH levels, 3) has increased levels of mineral ash.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005764,pond soil,Soil which is adjacent to a pond.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005765,frozen compost soil,Compost soil which is frozen.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005766,limed soil,Soil which has been amended with mineral additives to increase its pH.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005767,manured soil,"Soil which has, as a part, a portion of either fresh or processed animal manure.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005768,orchid soil,"Soil which has properties to which plants in the Family Orchidaceae have adapted, including increased levels of aeration and drainage.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005769,mountain forest soil,Soil which is part of a forest growing on a mountain.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005770,beech forest soil,Soil which is part of a forest whose communites of arborescent plants are dominated the genus Fagus.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005771,muddy soil,"Soil which is composed of a large proportion of mud, thus having properties resembling mud.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005772,orchard soil,Soil in which trees from an orchard grow.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005773,pasture soil,"Soil which is found in a pasture and in which vegetation, such as the grass used for the grazing of ungulates, grows.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005774,peat soil,A histosol which is formed by the decomposition of vegetation or organic matter.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005775,salt contaminated soil,Soil which has elevated concentrations of sodium chloride.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005776,peaty paddy field soil,Paddy field soil which has increased levels of peat.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005777,steppe soil,A portion of soil which is found in a steppe.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005778,tropical soil,Soil which is part of a tropical environment.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005779,vegetable garden soil,Garden soil which is part of a garden used for the cultivation of vegetables.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005780,greenhouse soil,A portion of soil which is found in a greenhouse.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005781,heat stressed soil,"Soil which is has been heated such that its chemical, physical, or biological properties are destabilised.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005782,ornithogenic soil,Soil which is formed from avian fecal matter.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005783,leafy wood soil,Soil which is part of a woodland dominated by leafy trees.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005784,spruce forest soil,Soil which is part of a forest whose communites of arborescent plants are dominated the genus Picea.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005786,upland soil,Soil which is part of some elevated land.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005787,eucalyptus forest soil,Soil which is part of a forest whose communites of arborescent plants are dominated the genus Eucalyptus.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005788,rubber plantation soil,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005789,bluegrass field soil,Bluegrass field soil is a soil which is found in a field of Kentucky Bluegrass (Poa pratensis).,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005790,red soil,"Soil which has 1) low concentrations of nutrients and humus, 2) low water retention capacity, 3) textural variation from sand to clay, 4) a porous and friable structure, and 5) low concentrations of soluble salts.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005791,sterile water,Sterile water is water which does not contain lliving organisms.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005792,underground water,Water which has physicochemical properties determined by processes which occur beneath the planetary crust.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005793,muddy water,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005794,water scum,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005795,marine mud,Mud which is part of a marine ecosystem.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005796,marine sludge,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005797,lake bottom mud,Mud which constitutes the bed of a lake.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005798,acid dune sand,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005799,rocky sand,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005800,desert sand,Sand which is part of a desert.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00005802,bulk soil,Soil that is not penetrated by the root systems of plants.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00010483,environmental material,A material entity which other material entities in an environmental system are primarily or partially composed of.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00010505,aerosol,Airborne solid particles (also called dust or particulate matter (PM)) or liquid droplets.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00010506,emulsion,A mixture of two immiscible (unblendable) substances. One substance (the dispersed phase) is dispersed in the other (the continuous phase).,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:00010623,dolomite,"A sedimentary carbonate rock and a mineral, both composed of calcium magnesium carbonate CaMg(CO3)2 found in crystals.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:0010001,anthropogenic environmental material,Anthropogenic material in or on which organisms may live.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:0010003,agricultural environmental material,__ENVHARMONIZER_MISSING__,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000000,humus,"Organic matter in soil which has reached a point of stability, where it will break down no further and might, if conditions do not change, remain essentially as it is for centuries, or millennia.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000001,mud,"An environmental material which is a liquid or semi-liquid mixture of water and some combination of soil, silt, and clay particles.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000016,silt,Particulate environmental material which is primarily composed of silt particles.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000017,sand,Particulate environmental material which is composed primarily of particles of sand with only minor proportions of other substances.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000018,gravel,An environmental material which is composed primarily of pieces of gravel.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000060,particulate environmental material,An environmental material which is composed primarily of particles.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000063,planktonic material,A portion of planktonic material is a portion of environmental material primarily composed of plankton.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000070,terrigenous sediment,"Sediment comprised of weathered continental rocks, wind blown dust, volcanic ash or other terrestrial material.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000082,biogenous sediment,"Biogenous sediment is derived from living organisms, typically planktonic organisms possessing shells, frustules or coccoliths.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000110,hydrogenous sediment,Hydrogenous sediment is derived from solutes that precipitate out of sea water by a variety of chemical reactions. These are typically less abundant than other sediment types.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000111,cosmogenous sediment,Cosmogenous sediment is derived from extraterrestrial dust and debris in the form of meteorites and similar entities.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000112,polymetallic nodule,"Polymetallic nodules, also called manganese nodules, are rock concretions on the sea bottom formed of concentric layers of iron and manganese hydroxides around a core. Nodules vary in size from tiny particles visible only under a microscope to large pellets more than 20 centimetres (8 in) across. However, most nodules are between 5 and 10 cm in diameter.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000113,suspended sediment,"Suspended sediment, or suspended load, is the term for the particles settle  slowly enough to be carried in flowing water (such as a stream or coastal area) either without touching the bed or while only intermittently touching it. These particles are generally of the fine sand, silt and clay size, although larger particles may be carried as well depending on the intensity of the flow.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000114,boulder sediment,Sediment characterised by an average particle diameter greater than 256 mm.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000115,cobble sediment,Sediment characterised by an average particle diameter between 64 and 256 mm.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000116,pebble sediment,Sediment characterised by an average particle diameter between 4 and 32 mm.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000117,granular sediment,Sediment characterised by an average particle diameter between 2 and 4 mm.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000118,sandy sediment,Sediment characterised by an average particle diameter between 62.5 micrometers and 2 mm.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000119,silty sediment,Sediment characterised by an average particle diameter between 3.9 and 62.5 micrometers.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000120,clay sediment,Sediment characterised by an average particle diameter between 1 and 3.9 micrometers.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000121,colloidal sediment,Sediment characterised by an average particle diameter below 1 micrometer.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000131,mesophilic sediment,Sediment characterised by a temperature of 15-45 degrees Celsius and high-to-low oxygenation. Often impacted by hydrothermal fluid flows.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000132,thermophilic sediment,Sediment characterised by a temperature of 45-75 degrees Celsius and low to no oxygen content. Often impacted by hydrothermal fluid flows.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000133,hyperthermophilic sediment,Sediment characterised by a temperature of 80-125 degrees Celsius and no oxygen content. Often impacted by hydrothermal fluid flows.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000134,hydrothermal fluid,High temperature water ejected from hydrothermal vents and laden with dissolved metals and minerals as a result of percolation through crustal rocks.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000135,nitrate-reducing sediment,Sediment hosting and characterised by active nitrate reducing microbial communities.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000151,manganese-reducing sediment,Sediment hosting and characterised by active manganese reducing microbial communities.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000152,iron-reducing sediment,Sediment hosting and characterised by active iron reducing microbial communities.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000153,sulphate-reducing sediment,Sediment hosting and characterised by active sulphate reducing microbial communities.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000154,carbon dioxide-reducing sediment,Sediment hosting and characterised by active carbon dioxide reducing microbial communities.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000155,organic material,Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000156,biofilm material,"Material derived from a biofilm, an aggregate of microorganisms in which cells adhere to each other and/or to a surface. These adherent cells are frequently embedded within a self-produced matrix of extracellular polymeric substance (EPS). Biofilm EPS, which is also referred to as slime, is a polymeric conglomeration generally composed of extracellular DNA, proteins, and polysaccharides in various configurations.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000157,microbial mat material,"Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000158,marine snow,Marine snow is a continuous shower of mostly organic detritus falling from the upper layers of the water column. Its origin lies in activities within the productive photic zone.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000173,anoxic water,Water which lacks dissolved oxygen.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000231,lava,"Lava is a mixture of molten or semi-molten rock, volatiles, and solids which has extruded beyond a planetary crust.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000232,felsic lava,"Felsic lava is lava which is high in silica (> 69 percent by weight), aluminium, potassium, sodium, and calcium, forming a polymerized liquid rich in feldspar and quartz. Felsic lava has a  higher viscosity than other magma types. Felsic magmas can erupt at temperatures as low as 650 to 750 °C. Unusually hot (>950 °C) rhyolite lavas, however, may flow for distances of many tens of kilometres",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000233,intermediate lava,"Intermediate lava is lava which, relative to felsic lava, is lower in aluminium and silica (between 52 and 63 percent by weight), and usually somewhat richer in magnesium and iron. The temperature of intermediate lava ranges from 750 to 950 degrees Celsius, destroying polymerized bonds and promoting more fluid behaviour relative to felsic lavas and also a greater tendency to form phenocrysts. Higher iron and magnesium tends to manifest as a darker groundmass, and also occasionally amphibole or pyroxene phenocrysts.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000234,mafic lava,"Mafic lava is lava which, relative to other lava types other than ultramafic lava, has a  high ferromagnesian content and low aluminium and silica content, with silca making up between 45 and 52 percent of its weight.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000235,ultramafic lava,"Lava which, relative to other lava types, has very high magnesium oxide content and less than 45 percent silica by weight.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000236,basalt,Basalt is a volcanic rock which is formed by the rapid cooling of basaltic lava.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000256,mineral material,"A mineral material is an environmental material which is primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000266,water vapour,Water vapour is a vapour which is the gas phase of water.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000268,atmospheric water vapour,Atmospheric water vapour is water vapour that is part of an atmosphere.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000269,siltstone,"A sedimentary rock which is composed mainly of silt. This rock has a grainsize in the silt range, finer than sandstone and coarser than claystones.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000270,claystone,A clastic sedimentary rock which is composed primarily of clay sized particles.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000271,clastic sedimentary rock,"Clastic sedimentary rocks are sedimentary rocks that are composed of silicate minerals and rock fragments that were transported by moving fluids. Clastic rocks are composed largely of quartz, feldspar, rock (lithic) fragments, clay minerals, and mica; numerous other minerals may be present as accessories and may be important locally.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000272,mudstone,A mudstone is a clastic sedimentary rock which contains a mixture of at least one third of silt- and one third of clay-sized particles.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000273,lime mudstone,Lime mudstone is a limestone which is primarily composed of either clay-size or both silt-size and clay-size detrital (transported) carbonate grains.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000274,slate,"Slate is a metamorphic rock which is fine-grained, foliated, homogeneous, Slates are derived from clastic sedimentary rocks.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000277,water ice,Ice which is formed from water.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000301,estuarine water,Brackish water which is part of an estuary.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000349,root matter,An organic material primarily composed of a portion of plant root.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000350,autoclaved sand,Autoclaved sand is sand that has been sterlised by exposure to high pressure saturated steam at at least 121 degrees Celsius.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000356,granite,"A portion of granite is a portion of igneous  rock which  is intrusive, felsic, granular, and phaneritic.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000357,alkaline water,A portion of alkaline water is a portion of water with a pH greater than 7.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000358,acidic water,A portion of acidic water is a portion of water with a pH less than 7.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000371,agricultural waste material,"Agricultural waste is waste produced as a result of various agricultural operations. It includes manure and other wastes from farms, poultry houses and slaughterhouses; harvest waste; fertilizer run- off from fields; pesticides that enter into water, air or soils; and salt and silt drained from fields.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000372,household waste material,Household waste refers to waste material usually generated in the residential environment. Waste with similar characteristics may be generated in other economic activities and can thus be treated and disposed of together with household waste.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000373,biological waste material,"Biological waste is waste containing mostly natural organic materials (remains of plants, animal excrement, biological sludge from waste-water treatment plants and so forth).",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000405,respirable suspended particulate matter,A portion of respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of 10 micrometers or less.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000406,snow,Snow is an environmental material which is primarily composed of flakes of crystalline water ice.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000415,fine respirable suspended particulate matter,A portion of fine respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of 2.5 micrometers or less.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000416,ultrafine respirable suspended particulate matter,A portion of fine respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of  100 nanometers or less.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000427,carbon nanotube enriched soil,A portion of carbon nanotube enriched soil is a portion of soil with elevated levels of carbon nanotubes.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000436,waterborne particulate matter,Particulate environmental material in which small portions of solid material are surrounded by water.,ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
ENVO:01000441,andesite,"Andesite is an extrusive igneous, volcanic rock, of intermediate composition, with aphanitic to porphyritic texture.",ENVO,__ENVHARMONIZER_MISSING__,FALSE,__ENVHARMONIZER_MISSING__,upstream
