term,canonical_media,canonical_term,term_id,parent_id,preferred_label,rank,definition,envo_id,physical_phase,physical_state,is_water_based,concert_unit_route,media_category,source,assertion_mode,confidence_tier,confidence,active
ground water,groundwater,groundwater,ENVO:01001004,ENVO:00005792,groundwater,alias,"Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel.",ENVO:01001004,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
groundwater,groundwater,groundwater,ENVO:01001004,ENVO:00005792,groundwater,canonical,"Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel.",ENVO:01001004,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
guar gum,guar gum,guar gum,FOODON:03413114,FOODON:00004340,guar gum,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
hazelnut,hazelnut,hazelnut,FOODON:00002933,FOODON:00002932,hazelnut,canonical,"The hazelnut is the nut of the hazel and therefore includes any of the nuts deriving from species of the genus Corylus, especially the nuts of the species Corylus avellana. It also is known as cobnut or filbert nut according to species.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
hemp,cannabis,cannabis,AMH:0000043,ENVO:00010483,cannabis,alias,Cannabis plant material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
herbal tea,herbal tea,herbal tea,FOODON:03311585,FOODON:03315081,herbal tea,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
honey,honey,honey,FOODON:03301024,FOODON:00001178,honey (raw),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
human breast milk,human milk,human milk,FOODON:03303918,FOODON:00001958,human milk (raw),alias,Breast milk is the milk produced by the breasts (or mammary glands) of a human female.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
human urine,urine,urine,AMH:0000034,AMH:0000028,urine,alias,Urine used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
indoor air,indoor air,indoor air,AMH:0000033,ENVO:00002005,indoor air,canonical,Air within an enclosed building or structure used as an analytical matrix.,ENVO:00002005,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
infant formula,infant formula,infant formula,FOODON:03303130,FOODON:03306448,infant formula,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
jet fuel,fuel,fuel,AMH:0000038,AMH:0000006,fuel,alias,A refined petroleum or biofuel liquid used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
juice,juice,juice,FOODON:03315552,FOODON:03301977,juice beverage,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
kidney,kidney,kidney,AMH:0000036,AMH:0000031,kidney,canonical,Kidney tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
kidney tissue,kidney,kidney,AMH:0000036,AMH:0000031,kidney,alias,Kidney tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
lake,lake water,lake water,AMH:0000029,ENVO:00002011,lake water,alias,Fresh water collected from a lake.,ENVO:00002011,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
lake water,lake water,lake water,AMH:0000029,ENVO:00002011,lake water,canonical,Fresh water collected from a lake.,ENVO:00002011,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
leachate,leachate,leachate,AMH:0000003,ENVO:00002006,leachate,canonical,A liquid that has percolated through or drained from another material.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
lettuce,lettuce,lettuce,FOODON:00003423,FOODON:00001998,lettuce leaf,canonical,A rosette leaf of a lettuce plant (Lactuca sativa).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
liquor,liquor,liquor,FOODON:00001817,FOODON:00001579,alcoholic beverage (distilled),canonical,"An alcoholic drink produced by distillation of grains, fruit, or vegetables that have already gone through alcoholic fermentation. True distillation involves heating and cooling to seperate alcohol from the solution via evaporation and condensation.",__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
liver,liver,liver,AMH:0000035,AMH:0000031,liver,canonical,Liver tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
liver tissue,liver,liver,AMH:0000035,AMH:0000031,liver,alias,Liver tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
maize,corn,corn,FOODON:00003562,FOODON:00001849,field corn kernel,alias,A seed of a field corn plant (Zea mays).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
marijuana,cannabis,cannabis,AMH:0000043,ENVO:00010483,cannabis,alias,Cannabis plant material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
marine,marine water,marine water,ENVO:00002149,ENVO:00002010,sea water,alias,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO:00002149,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
marine sediment,marine sediment,marine sediment,AMH:0000005,ENVO:00002007,marine sediment,canonical,Sediment collected from a marine environment.,ENVO:00002007,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
marine water,marine water,marine water,ENVO:00002149,ENVO:00002010,sea water,canonical,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO:00002149,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
meat,meat,meat,FOODON:03306429,FOODON:03311126,meat (raw),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
methanol,methanol,methanol,AMH:0000010,AMH:0000006,methanol,canonical,Methanol used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
milk,milk,milk,FOODON:03307455,FOODON:02020891,cow milk (raw),canonical,Raw cow milk.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
milk powder,powdered milk,powdered milk,FOODON:00002174,FOODON:00001091,powdered milk food product,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
millet,millet,millet,FOODON:03309702,FOODON:00001758,millet seed (dried),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
milli q water,milli-q water,milli-q water,AMH:0000019,ENVO:00002006,milli-q water,alias,Ultrapure laboratory water described by the reported Milli-Q designation.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
milli-q water,milli-q water,milli-q water,AMH:0000019,ENVO:00002006,milli-q water,canonical,Ultrapure laboratory water described by the reported Milli-Q designation.,ENVO:00002006,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
miso,miso,miso,FOODON:00003208,FOODON:00001070,miso,canonical,"A traditional Japanese seasoning produced by fermenting soybeans with salt and kōji (the fungus Aspergillus oryzae) and sometimes rice, barley, seaweed or other ingredients.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
mud,mud,mud,AMH:0000015,ENVO:00002007,mud,canonical,A naturally mixed water and fine mineral or organic solid material treated as one matrix.,ENVO:00002007,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
muscle,muscle,muscle,AMH:0000037,AMH:0000031,muscle,canonical,Muscle tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
muscle tissue,muscle,muscle,AMH:0000037,AMH:0000031,muscle,alias,Muscle tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
muscle tissues,muscle,muscle,AMH:0000037,AMH:0000031,muscle,alias,Muscle tissue used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
mushrooms,mushroom,mushroom,FOODON:00003528,FOODON:00002434,mushroom fruitbody,alias,A fruitbody of a fungi.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
mussels,mussel,mussel,FOODON:03301706,FOODON:00002051,mussel (raw),alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
natural gas,vapor,vapor,AMH:0000024,ENVO:00010483,vapor,alias,A gas-phase analytical matrix reported as vapor.,__ENVHARMONIZER_MISSING__,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
nuts,nut,nut,FOODON:03303171,FOODON:03306632,nut,alias,A whole nut with or without its shell.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
oat milk,oat milk,oat milk,FOODON:00004515,FOODON:00001189,oat milk,canonical,A beverage made from procesed oats.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
oats,oat,oat,FOODON:00003429,FOODON:00001189,oat,alias,A caryopsis fruit of an oat plant (Avena sativa).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
oil,oil,oil,AMH:0000030,AMH:0000006,oil,canonical,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
olive oil,olive oil,olive oil,AMH:0000012,AMH:0000006,olive oil,canonical,Olive oil used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
onions,onion,onion,FOODON:03316347,FOODON:00002069,onion,alias,A bulb of an onion plant (Allium cepa).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
oranges,orange,orange,FOODON:03315106,FOODON:00002071,orange,alias,A hesperidium fruit of an orange tree (Citrus sinensis).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
oysters,shellfish,shellfish,FOODON:03308628,FOODON:03315468,shellfish (raw),alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
parsley,parsley,parsley,FOODON:03000230,FOODON:00002084,parsley (whole or pieces),canonical,A whole or processed parsley.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
particulate matter,particulate matter,particulate matter,AMH:0000022,ENVO:00010483,particulate matter,canonical,Particulate material analyzed as a solid fraction.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
peanut butter,peanut butter,peanut butter,FOODON:03306867,FOODON:00003205,peanut butter,canonical,"A food paste or spread made from ground, dry-roasted peanuts.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
peanut flour,peanut flour,peanut flour,FOODON:00005586,FOODON:00002099,peanut flour,canonical,"A flour made from crushed, fully or partly defatted peanuts.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
peanut oil,peanut oil,peanut oil,FOODON:03309857,FOODON:00002098,peanut oil,canonical,A mild-tasting vegetable oil derived from peanuts.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
peanuts,peanut,peanut,FOODON:00003206,FOODON:00002099,peanut,alias,A seed of a peanut plant (Arachis hypogaea).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
pears,pear,pear,FOODON:00003041,FOODON:00002488,pear,alias,A pome fruit of a pear tree.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
petrol,gasoline,gasoline,AMH:0000014,AMH:0000006,gasoline,alias,A petroleum-derived fuel used as an analytical matrix.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
petroleum products,oil,oil,AMH:0000030,AMH:0000006,oil,alias,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
plasma,plasma,plasma,AMH:0000001,ENVO:02000020,plasma,canonical,Blood plasma used as an analytical matrix.,ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
plastic,polymeric material,polymeric material,AMH:0000042,ENVO:00010483,polymeric material,alias,A polymer or plastic material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
plastics,polymeric material,polymeric material,AMH:0000042,ENVO:00010483,polymeric material,alias,A polymer or plastic material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
polymers,polymeric material,polymeric material,AMH:0000042,ENVO:00010483,polymeric material,alias,A polymer or plastic material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
polystyrene,polymeric material,polymeric material,AMH:0000042,ENVO:00010483,polymeric material,alias,A polymer or plastic material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
pork,pork,pork,FOODON:00001038,FOODON:00002663,pork meat food product,canonical,A food product made from domestic pig meat (Sus domesticus or Sus scrofa scrofa).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
potato,potato,potato,FOODON:03315354,FOODON:00001148,potato,canonical,A shoot axis tuber of a potato plant (Solanum tuberosum).,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
potato chips,potato chip,potato chip,FOODON:03301833,FOODON:03316034,potato chip,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
potato flour,potato flour,potato flour,FOODON:03302378,FOODON:00002796,potato flour,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
powdered milk,powdered milk,powdered milk,FOODON:00002174,FOODON:00001091,powdered milk food product,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
propylene glycol,propylene glycol,propylene glycol,AMH:0000013,AMH:0000006,propylene glycol,canonical,Propylene glycol used as an analytical matrix or vehicle.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
pumpkin,pumpkin,pumpkin,FOODON:00003486,FOODON:00002180,pumpkin,canonical,An orange-yellow pepo fruit of a pumpkin plant.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
pyrolysis oils,oil,oil,AMH:0000030,AMH:0000006,oil,alias,An oil reported without enough evidence for a more specific material term.,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
red cabbage,red cabbage,red cabbage,FOODON:03304685,FOODON:00002922,red cabbage head (raw),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
red wine,red wine,red wine,FOODON:03310272,FOODON:03301014,red wine,canonical,A type of wine made from dark-colored grape varieties.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
rice,rice,rice,FOODON:00004327,FOODON:03301641,rice,canonical,An aggregate of rice kernels.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
rice bran,rice bran,rice bran,FOODON:03306185,FOODON:00001185,rice bran,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
rice husk,rice husk,rice husk,FOODON:00004330,FOODON:00001185,rice husk,canonical,A husk of a rice kernel.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
rice powder,rice powder,rice powder,FOODON:03309871,FOODON:00002207,rice powder,canonical,Rice milled to a powdery consistency.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
rice wine,rice wine,rice wine,FOODON:03307312,FOODON:00002203,rice wine,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
rubber,polymeric material,polymeric material,AMH:0000042,ENVO:00010483,polymeric material,alias,A polymer or plastic material used as an analytical matrix.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
runoff,runoff,runoff,AMH:0000020,ENVO:00002042,runoff,canonical,Water flowing over land after precipitation or release.,ENVO:00002042,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
sake,sake,sake,FOODON:03301670,FOODON:00001918,sake,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
saliva,biological fluid,biological fluid,AMH:0000028,ENVO:02000020,biological fluid,alias,A water-based fluid derived from an organism and used as an analytical matrix.,ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
salmon,salmon,salmon,FOODON:00003473,FOODON:00002220,salmon,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
salt water,saltwater,saltwater,ENVO:00002149,ENVO:00002010,sea water,alias,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO:00002149,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
saltwater,saltwater,saltwater,ENVO:00002149,ENVO:00002010,sea water,canonical,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO:00002149,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
sauerkraut,sauerkraut,sauerkraut,FOODON:03301397,FOODON:00001024,sauerkraut,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
sausage,sausage,sausage,FOODON:03315904,FOODON:00001007,meat sausage,canonical,A food product that is highly seasoned minced meat and is encased in a skin in the shape of a cylinder.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
sea water,seawater,seawater,ENVO:00002149,ENVO:00002010,sea water,alias,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO:00002149,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
seawater,seawater,seawater,ENVO:00002149,ENVO:00002010,sea water,canonical,Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean.,ENVO:00002149,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
sediment,sediment,sediment,ENVO:00002007,ENVO:01000060,sediment,canonical,Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid.,ENVO:00002007,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
serum,serum,serum,AMH:0000002,ENVO:02000020,serum,canonical,Blood serum used as an analytical matrix.,ENVO:02000020,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
sesame butter,sesame butter,sesame butter,FOODON:00004525,FOODON:00002232,sesame butter,canonical,A seed butter made from roasted unhulled or hulled sesame seeds.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
shellfish,shellfish,shellfish,FOODON:03308628,FOODON:03315468,shellfish (raw),canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
sherry,sherry,sherry,FOODON:03310760,FOODON:00001948,sherry,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
shrimp,shrimp,shrimp,FOODON:03411237,AMH:0000032,shrimp,canonical,A whole shrimp.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
skim milk,skim milk,skim milk,FOODON:03301484,FOODON:00001771,skim milk food product,canonical,"Skimmed milk (British English), or skim milk (American English), is made when all the milkfat is removed from whole milk. It tends to contain around 0.1% fat.",__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
sludge,sludge,sludge,ENVO:00002044,ENVO:0010001,sludge,canonical,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",ENVO:00002044,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
sludges,sludge,sludge,ENVO:00002044,ENVO:0010001,sludge,alias,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",ENVO:00002044,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
soda,soft drink,soft drink,FOODON:03310815,FOODON:00002339,soft drink,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
soft drinks,soft drink,soft drink,FOODON:03310815,FOODON:00002339,soft drink,alias,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
soil,soil,soil,ENVO:00001998,ENVO:00010483,soil,canonical,"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.",ENVO:00001998,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
solid,solid,solid,AMH:0000026,ENVO:00010483,solid analytical matrix,canonical,A source matrix reported only as solid without further material identity.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
solid waste,solid,solid,AMH:0000026,ENVO:00010483,solid analytical matrix,alias,A source matrix reported only as solid without further material identity.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
soy flour,soy flour,soy flour,FOODON:03302142,FOODON:00002265,soybean flour,canonical,A flour made from soybeans.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
soy milk,soy milk,soy milk,FOODON:03305289,FOODON:03302389,soybean milk,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
soy sauce,soy sauce,soy sauce,FOODON:00001235,FOODON:00001078,soy sauce food product,canonical,A condiment with soy sauce as a defining ingredient.,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
soybean flour,soy flour,soy flour,FOODON:03302142,FOODON:00002265,soybean flour,alias,A flour made from soybeans.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
soybean oil,soybean oil,soybean oil,FOODON:03302776,FOODON:00001173,soybean oil,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,FALSE,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,amosharmonizer,auto,high,high,TRUE
soybean paste,soybean paste,soybean paste,FOODON:03310002,FOODON:03304996,soybean paste,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
sparkling wine,sparkling wine,sparkling wine,FOODON:03310759,FOODON:00001999,sparkling wine,canonical,__ENVHARMONIZER_MISSING__,__ENVHARMONIZER_MISSING__,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
spices,spice,spice,FOODON:03306052,FOODON:03303380,spice,alias,"A seed, fruit, root, bark, or other plant substance that is primarily used for flavouring or colouring food.",__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
spinach,spinach,spinach,FOODON:03000221,FOODON:00002269,spinach (whole or pieces),canonical,Whole spinach or some substance made from processed spinach.,__ENVHARMONIZER_MISSING__,solid,solid,FALSE,solid,solid,amosharmonizer,auto,high,high,TRUE
stack gas emissions,vapor,vapor,AMH:0000024,ENVO:00010483,vapor,alias,A gas-phase analytical matrix reported as vapor.,__ENVHARMONIZER_MISSING__,gas,gas,FALSE,air,air,amosharmonizer,auto,high,high,TRUE
stormwater runoff,runoff,runoff,AMH:0000020,ENVO:00002042,runoff,alias,Water flowing over land after precipitation or release.,ENVO:00002042,liquid,liquid,TRUE,aqueous,aqueous,amosharmonizer,auto,high,high,TRUE
